ss=106,ss_vec=[ 2, 2, 1, 2, 1, 1, 2, ], ss_back=106
ss=107,ss_vec=[ 2, 2, 1, 2, 1, 2, 1, ], ss_back=107
ss=108,ss_vec=[ 2, 2, 1, 2, 1, 2, 2, ], ss_back=108
ss=109,ss_vec=[ 2, 2, 1, 2, 2, 1, 1, ], ss_back=109
ss=110,ss_vec=[ 2, 2, 1, 2, 2, 1, 2, ], ss_back=110
ss=111,ss_vec=[ 2, 2, 1, 2, 2, 2, 1, ], ss_back=111
ss=112,ss_vec=[ 2, 2, 1, 2, 2, 2, 2, ], ss_back=112
ss=113,ss_vec=[ 2, 2, 2, 1, 1, 1, 1, ], ss_back=113
ss=114,ss_vec=[ 2, 2, 2, 1, 1, 1, 2, ], ss_back=114
ss=115,ss_vec=[ 2, 2, 2, 1, 1, 2, 1, ], ss_back=115
ss=116,ss_vec=[ 2, 2, 2, 1, 1, 2, 2, ], ss_back=116
ss=117,ss_vec=[ 2, 2, 2, 1, 2, 1, 1, ], ss_back=117
ss=118,ss_vec=[ 2, 2, 2, 1, 2, 1, 2, ], ss_back=118
ss=119,ss_vec=[ 2, 2, 2, 1, 2, 2, 1, ], ss_back=119
ss=120,ss_vec=[ 2, 2, 2, 1, 2, 2, 2, ], ss_back=120
ss=121,ss_vec=[ 2, 2, 2, 2, 1, 1, 1, ], ss_back=121
ss=122,ss_vec=[ 2, 2, 2, 2, 1, 1, 2, ], ss_back=122
ss=123,ss_vec=[ 2, 2, 2, 2, 1, 2, 1, ], ss_back=123
ss=124,ss_vec=[ 2, 2, 2, 2, 1, 2, 2, ], ss_back=124
ss=125,ss_vec=[ 2, 2, 2, 2, 2, 1, 1, ], ss_back=125
ss=126,ss_vec=[ 2, 2, 2, 2, 2, 1, 2, ], ss_back=126
ss=127,ss_vec=[ 2, 2, 2, 2, 2, 2, 1, ], ss_back=127
ss=128,ss_vec=[ 2, 2, 2, 2, 2, 2, 2, ], ss_back=128

Flow 1: (offset, period, delay, success_prob) = (0, 10, 2, 0.710000), arrival_prob = (1.000000, )

Flow 2: (offset, period, delay, success_prob) = (0, 10, 2, 0.780000), arrival_prob = (1.000000, )

Flow 3: (offset, period, delay, success_prob) = (0, 10, 6, 0.770000), arrival_prob = (1.000000, )

Flow 4: (offset, period, delay, success_prob) = (0, 10, 6, 0.450000), arrival_prob = (1.000000, )

Flow 5: (offset, period, delay, success_prob) = (0, 10, 10, 0.690000), arrival_prob = (1.000000, )

Flow 6: (offset, period, delay, success_prob) = (0, 10, 10, 0.250000), arrival_prob = (1.000000, )

Flow 7: (offset, period, delay, success_prob) = (0, 10, 10, 0.740000), arrival_prob = (1.000000, )

weighted_sum, utility_coeff=[1.000000,6.000000,1.000000,2.000000,17.000000,14.000000,7.000000,]
tt=10
optimal_policy(10,1)=1, optimal_reward(10,1)=0.000000
optimal_policy(10,2)=7, optimal_reward(10,2)=5.180000
optimal_policy(10,3)=6, optimal_reward(10,3)=3.500000
optimal_policy(10,4)=7, optimal_reward(10,4)=5.180000
optimal_policy(10,5)=5, optimal_reward(10,5)=11.730000
optimal_policy(10,6)=5, optimal_reward(10,6)=11.730000
optimal_policy(10,7)=5, optimal_reward(10,7)=11.730000
optimal_policy(10,8)=5, optimal_reward(10,8)=11.730000
optimal_policy(10,9)=4, optimal_reward(10,9)=0.900000
optimal_policy(10,10)=7, optimal_reward(10,10)=5.180000
optimal_policy(10,11)=6, optimal_reward(10,11)=3.500000
optimal_policy(10,12)=7, optimal_reward(10,12)=5.180000
optimal_policy(10,13)=5, optimal_reward(10,13)=11.730000
optimal_policy(10,14)=5, optimal_reward(10,14)=11.730000
optimal_policy(10,15)=5, optimal_reward(10,15)=11.730000
optimal_policy(10,16)=5, optimal_reward(10,16)=11.730000
optimal_policy(10,17)=3, optimal_reward(10,17)=0.770000
optimal_policy(10,18)=7, optimal_reward(10,18)=5.180000
optimal_policy(10,19)=6, optimal_reward(10,19)=3.500000
optimal_policy(10,20)=7, optimal_reward(10,20)=5.180000
optimal_policy(10,21)=5, optimal_reward(10,21)=11.730000
optimal_policy(10,22)=5, optimal_reward(10,22)=11.730000
optimal_policy(10,23)=5, optimal_reward(10,23)=11.730000
optimal_policy(10,24)=5, optimal_reward(10,24)=11.730000
optimal_policy(10,25)=4, optimal_reward(10,25)=0.900000
optimal_policy(10,26)=7, optimal_reward(10,26)=5.180000
optimal_policy(10,27)=6, optimal_reward(10,27)=3.500000
optimal_policy(10,28)=7, optimal_reward(10,28)=5.180000
optimal_policy(10,29)=5, optimal_reward(10,29)=11.730000
optimal_policy(10,30)=5, optimal_reward(10,30)=11.730000
optimal_policy(10,31)=5, optimal_reward(10,31)=11.730000
optimal_policy(10,32)=5, optimal_reward(10,32)=11.730000
optimal_policy(10,33)=2, optimal_reward(10,33)=4.680000
optimal_policy(10,34)=7, optimal_reward(10,34)=5.180000
optimal_policy(10,35)=2, optimal_reward(10,35)=4.680000
optimal_policy(10,36)=7, optimal_reward(10,36)=5.180000
optimal_policy(10,37)=5, optimal_reward(10,37)=11.730000
optimal_policy(10,38)=5, optimal_reward(10,38)=11.730000
optimal_policy(10,39)=5, optimal_reward(10,39)=11.730000
optimal_policy(10,40)=5, optimal_reward(10,40)=11.730000
optimal_policy(10,41)=2, optimal_reward(10,41)=4.680000
optimal_policy(10,42)=7, optimal_reward(10,42)=5.180000
optimal_policy(10,43)=2, optimal_reward(10,43)=4.680000
optimal_policy(10,44)=7, optimal_reward(10,44)=5.180000
optimal_policy(10,45)=5, optimal_reward(10,45)=11.730000
optimal_policy(10,46)=5, optimal_reward(10,46)=11.730000
optimal_policy(10,47)=5, optimal_reward(10,47)=11.730000
optimal_policy(10,48)=5, optimal_reward(10,48)=11.730000
optimal_policy(10,49)=2, optimal_reward(10,49)=4.680000
optimal_policy(10,50)=7, optimal_reward(10,50)=5.180000
optimal_policy(10,51)=2, optimal_reward(10,51)=4.680000
optimal_policy(10,52)=7, optimal_reward(10,52)=5.180000
optimal_policy(10,53)=5, optimal_reward(10,53)=11.730000
optimal_policy(10,54)=5, optimal_reward(10,54)=11.730000
optimal_policy(10,55)=5, optimal_reward(10,55)=11.730000
optimal_policy(10,56)=5, optimal_reward(10,56)=11.730000
optimal_policy(10,57)=2, optimal_reward(10,57)=4.680000
optimal_policy(10,58)=7, optimal_reward(10,58)=5.180000
optimal_policy(10,59)=2, optimal_reward(10,59)=4.680000
optimal_policy(10,60)=7, optimal_reward(10,60)=5.180000
optimal_policy(10,61)=5, optimal_reward(10,61)=11.730000
optimal_policy(10,62)=5, optimal_reward(10,62)=11.730000
optimal_policy(10,63)=5, optimal_reward(10,63)=11.730000
optimal_policy(10,64)=5, optimal_reward(10,64)=11.730000
optimal_policy(10,65)=1, optimal_reward(10,65)=0.710000
optimal_policy(10,66)=7, optimal_reward(10,66)=5.180000
optimal_policy(10,67)=6, optimal_reward(10,67)=3.500000
optimal_policy(10,68)=7, optimal_reward(10,68)=5.180000
optimal_policy(10,69)=5, optimal_reward(10,69)=11.730000
optimal_policy(10,70)=5, optimal_reward(10,70)=11.730000
optimal_policy(10,71)=5, optimal_reward(10,71)=11.730000
optimal_policy(10,72)=5, optimal_reward(10,72)=11.730000
optimal_policy(10,73)=4, optimal_reward(10,73)=0.900000
optimal_policy(10,74)=7, optimal_reward(10,74)=5.180000
optimal_policy(10,75)=6, optimal_reward(10,75)=3.500000
optimal_policy(10,76)=7, optimal_reward(10,76)=5.180000
optimal_policy(10,77)=5, optimal_reward(10,77)=11.730000
optimal_policy(10,78)=5, optimal_reward(10,78)=11.730000
optimal_policy(10,79)=5, optimal_reward(10,79)=11.730000
optimal_policy(10,80)=5, optimal_reward(10,80)=11.730000
optimal_policy(10,81)=3, optimal_reward(10,81)=0.770000
optimal_policy(10,82)=7, optimal_reward(10,82)=5.180000
optimal_policy(10,83)=6, optimal_reward(10,83)=3.500000
optimal_policy(10,84)=7, optimal_reward(10,84)=5.180000
